縣市,總人口,老年人口_65歲以上,高齡人口_75歲以上,老年人口比例%,高齡人口比例%,機構數,核定床數,身障總人數,身障65歲以上,身障資料年,每千名老人機構數,每千名老人核定床數,床數供需指數_對中位數%,供給不足缺口排名,長照推估需求人數,長照服務使用人數,長照服務涵蓋率%,未滿足需求比例%,A整合中心_實際,A達成率%,B特約單位_實際,C巷弄站_實際,風險_未滿足需求,風險_深度老化,風險_整合資源不足,脆弱度指數,脆弱度排名,涵蓋率缺口排名
連江縣,13643,2400,773,17.59,5.67,1,34,515,114,2025,0.417,14.17,1.5,12,412,138,33.5,66.5,0,0.0,12,3,2.5126188249120687,-1.7081969460534785,1.9416448548403158,0.915,1,1
金門縣,137716,27817,9179,20.2,6.67,2,295,6286,1687,2025,0.072,10.61,-24.0,7,4904,2121,43.25,56.75,2,40.0,38,23,2.044717571336427,-0.9592863678714038,1.4656984837373972,0.85,2,2
臺北市,2425964,597054,246795,24.61,10.17,103,5401,121813,35055,2025,0.173,9.05,-35.2,4,113710,66070,58.1,41.9,70,206.0,635,293,1.3320679697366031,1.6619006557658575,-0.5094789563397151,0.828,3,3
基隆市,358574,81858,29295,22.83,8.17,28,1821,22197,5768,2025,0.342,22.25,59.4,20,15102,10580,70.06,29.94,9,129.0,128,78,0.758109098683816,0.16407949940170818,0.40671780803340324,0.443,4,4
澎湖縣,106550,22995,8948,21.58,8.4,4,206,6375,1705,2025,0.174,8.96,-35.8,3,4207,3452,82.05,17.95,8,100.0,68,40,0.18271053146618055,0.3363289323835857,0.7517789270830193,0.424,5,10
彰化縣,1203726,250807,101128,20.84,8.4,60,3681,73091,18435,2025,0.239,14.68,5.2,15,49093,45264,92.2,7.8,17,61.0,458,313,-0.3043866709741029,0.3363289323835857,1.215826638908365,0.416,6,14
雲林縣,647648,143284,62923,22.12,9.72,42,2063,49607,14335,2025,0.293,14.4,3.2,13,29663,27051,91.19,8.81,41,195.0,371,218,-0.2559169000908825,1.3248908955839245,-0.3785937042864125,0.23,7,13
臺東縣,207858,44324,17533,21.32,8.44,13,824,16686,4133,2025,0.293,18.59,33.2,18,9446,10533,111.51,-11.51,11,61.0,158,226,-1.2310711024146817,0.36628535551086805,1.215826638908365,0.117,8,21
苗栗縣,529791,109355,44360,20.64,8.37,15,1051,34406,9011,2025,0.137,9.61,-31.2,5,21724,17015,78.32,21.68,39,195.0,206,160,0.3617127546289646,0.3138616150381226,-0.3785937042864125,0.099,9,7
屏東縣,779096,173396,67738,22.26,8.69,59,3326,54134,13986,2025,0.34,19.18,37.4,19,34461,36668,106.4,-6.4,37,106.0,478,322,-0.9858428556688839,0.5535130000563867,0.6803869714175814,0.083,10,18
南投縣,467082,108442,43495,23.22,9.31,19,1491,33600,9223,2025,0.175,13.75,-1.5,11,21345,22829,106.95,-6.95,22,147.0,296,183,-1.012237285357766,1.0178375585292738,0.19254194103708988,0.066,11,19
高雄市,2709973,574788,213329,21.21,7.87,155,8283,154278,39955,2025,0.27,14.41,3.2,14,107980,95426,88.37,11.63,76,146.0,1523,579,-0.12058546059515844,-0.060593674052914076,0.20444060031466285,0.008,12,11
嘉義縣,470404,115686,49229,24.59,10.47,28,1414,37605,10785,2025,0.242,12.22,-12.5,8,23277,26836,115.29,-15.29,41,228.0,305,308,-1.4124728191855458,1.8865738292204803,-0.7712494604463204,-0.099,13,22
花蓮縣,311290,68455,26462,21.99,8.5,17,1271,26345,6878,2025,0.248,18.57,33.0,17,13950,15257,109.37,-9.37,18,129.0,178,192,-1.1283727759888484,0.4112199902017929,0.40671780803340324,-0.103,14,20
新竹縣,598260,92028,36145,15.38,6.04,18,1218,24561,5487,2025,0.196,13.24,-5.2,9,17895,14104,78.82,21.18,18,113.0,168,137,0.3377178185481624,-1.4311000321261107,0.5970963564745707,-0.165,15,8
新竹市,455755,75213,28846,16.5,6.33,13,617,19169,4658,2025,0.173,8.2,-41.3,2,14186,10859,76.55,23.45,12,150.0,122,55,0.44665482835500414,-1.213915964453309,0.15684596320437097,-0.203,16,5
臺南市,1848108,386774,145079,20.93,7.85,121,6190,102142,27451,2025,0.313,16.0,14.6,16,72452,69278,95.62,4.38,72,176.0,1160,269,-0.46851203376678957,-0.07557188561655592,-0.15251917801252612,-0.232,17,15
新北市,4038031,824459,286980,20.42,7.11,214,11076,188268,45567,2025,0.26,13.43,-3.8,10,146627,117151,79.9,20.1,111,258.0,1297,479,0.2858887566136299,-0.6297657134712906,-1.1282092387735094,-0.491,18,9
宜蘭縣,448513,94932,38240,21.17,8.53,40,2436,32302,8927,2025,0.421,25.66,83.8,21,18321,18393,100.39,-0.39,37,285.0,297,180,-0.697423723977642,0.43368730754725465,-1.4494730392679793,-0.571,19,16
嘉義市,261497,53035,21055,20.28,8.05,20,1468,15917,4443,2025,0.377,27.68,98.3,22,10137,10546,104.03,-4.03,9,300.0,106,56,-0.8721068586458816,0.07421023001985981,-1.627952928431574,-0.809,20,17
臺中市,2867468,510502,179656,17.8,6.27,66,4077,139638,33938,2025,0.129,7.99,-42.8,1,92336,82400,89.24,10.76,106,265.0,1415,498,-0.1623366493757542,-1.258850599144234,-1.21149985371652,-0.878,21,12
桃園市,2356618,404337,138700,17.16,5.89,69,3982,96854,22050,2025,0.171,9.85,-29.4,6,70889,55118,77.75,22.25,78,300.0,679,418,0.389066981761079,-1.5434366188534223,-1.627952928431574,-0.927,22,6
