縣市,年_西元,老化指數_預測
南投縣,2026,233.2
南投縣,2027,242.8
南投縣,2028,252.3
南投縣,2029,261.8
南投縣,2030,271.3
嘉義市,2026,171.4
嘉義市,2027,179.3
嘉義市,2028,187.1
嘉義市,2029,195.0
嘉義市,2030,202.9
嘉義縣,2026,303.2
嘉義縣,2027,315.9
嘉義縣,2028,328.7
嘉義縣,2029,341.5
嘉義縣,2030,354.3
基隆市,2026,248.0
基隆市,2027,260.3
基隆市,2028,272.6
基隆市,2029,284.9
基隆市,2030,297.2
宜蘭縣,2026,194.8
宜蘭縣,2027,202.5
宜蘭縣,2028,210.1
宜蘭縣,2029,217.8
宜蘭縣,2030,225.5
屏東縣,2026,228.5
屏東縣,2027,237.7
屏東縣,2028,246.9
屏東縣,2029,256.1
屏東縣,2030,265.4
彰化縣,2026,182.4
彰化縣,2027,190.5
彰化縣,2028,198.6
彰化縣,2029,206.6
彰化縣,2030,214.7
新北市,2026,191.6
新北市,2027,201.8
新北市,2028,212.1
新北市,2029,222.3
新北市,2030,232.5
新竹市,2026,107.9
新竹市,2027,112.7
新竹市,2028,117.5
新竹市,2029,122.2
新竹市,2030,127.0
新竹縣,2026,102.0
新竹縣,2027,105.3
新竹縣,2028,108.7
新竹縣,2029,112.1
新竹縣,2030,115.5
桃園市,2026,130.5
桃園市,2027,137.3
桃園市,2028,144.0
桃園市,2029,150.7
桃園市,2030,157.5
澎湖縣,2026,225.4
澎湖縣,2027,234.7
澎湖縣,2028,244.1
澎湖縣,2029,253.4
澎湖縣,2030,262.8
臺中市,2026,140.7
臺中市,2027,147.6
臺中市,2028,154.6
臺中市,2029,161.6
臺中市,2030,168.6
臺北市,2026,208.4
臺北市,2027,218.6
臺北市,2028,228.7
臺北市,2029,238.9
臺北市,2030,249.0
臺南市,2026,190.7
臺南市,2027,199.1
臺南市,2028,207.5
臺南市,2029,215.9
臺南市,2030,224.3
臺東縣,2026,201.1
臺東縣,2027,209.1
臺東縣,2028,217.1
臺東縣,2029,225.1
臺東縣,2030,233.2
花蓮縣,2026,205.3
花蓮縣,2027,214.3
花蓮縣,2028,223.3
花蓮縣,2029,232.4
花蓮縣,2030,241.4
苗栗縣,2026,188.0
苗栗縣,2027,195.7
苗栗縣,2028,203.4
苗栗縣,2029,211.2
苗栗縣,2030,218.9
連江縣,2026,182.7
連江縣,2027,193.6
連江縣,2028,204.5
連江縣,2029,215.4
連江縣,2030,226.3
金門縣,2026,260.9
金門縣,2027,276.4
金門縣,2028,291.9
金門縣,2029,307.3
金門縣,2030,322.8
雲林縣,2026,217.2
雲林縣,2027,224.7
雲林縣,2028,232.2
雲林縣,2029,239.7
雲林縣,2030,247.2
高雄市,2026,199.3
高雄市,2027,208.5
高雄市,2028,217.8
高雄市,2029,227.0
高雄市,2030,236.2
