編號,屬性,機構名稱,負責人,區域別,地址,電話,收容對象,立案日期,核定床數,備註
1,私立,財團法人利河伯社會福利基金會附設台灣省私立基督仁愛之家,趙明洋,埔里鎮,南投縣埔里鎮福興里福興路146巷48號,049-2930390,"安養
養護",87.04,140,
2,私立,財團法人台灣省私立光明仁愛之家,張勝安,埔里鎮,南投縣埔里鎮鯉魚路25-6號,049-2984506,"長照
養護",70.02,120,
3,私立,財團法人南投縣私立南投仁愛之家,陳碧三,南投市,南投縣南投市三興里39鄰民族路617號,049-2222151,"養護
安養",66.09,147,
4,私立,財團法人南投縣私立傑瑞社會福利基金會附設南投縣私立傑瑞老人安養中心,陳本源,南投市,南投縣南投市三興里31鄰嶺興路210-3號,049-2230990,"長照
養護
安養",80.05,438,
5,私立,南投縣私立仁和長期照顧中心(長期照護型),何年春,南投市,南投縣南投市平山里仁和路14號,049-2263166,長照    ,97.04,48,
6,私立,南投縣私立千恩老人長期照顧中心（養護型）,盧忠義,南投市,南投縣南投市彰和里文化路322號,049-2225577,養護,98.1,48,
7,私立,南投縣私立東山長期照顧中心(養護型),蕭博銘,南投市,南投縣南投市東山里2鄰東山路13之1號,049-2207008,養護,99.12,48,
8,私立,南投縣私立佳尚好長期照顧中心(養護型),廖麗卿,南投市,南投縣南投市彰南路2段672巷65號,049-2258879,養護,103.02,24,
9,私立,南投縣私立慈嘉老人長期照顧中心(養護型),賴慶霖,南投市,南投縣南投市彰南路二段672巷92號1樓,049-2257507,養護,104.06,43,
10,私立,南投縣私立慈孝老人安養中心,賴照發,南投市,南投縣南投市彰南路二段672巷92號2樓,049-2254972,安養,109.02,37,
11,私立,南投縣私立保生長期照顧中心(養護型),洪璧如,草屯鎮,南投縣草屯鎮敦和里33鄰博愛路689號,049-2354107,養護,101.03,30,
12,私立,南投縣私立寶優養護中心,葉淑慧,草屯鎮,南投縣草屯鎮新豐里6鄰稻香路25-27號,"049-2336848
049-2353338",養護,88.1,49,
13,私立,南投縣私立博愛長期照顧中心,李花守,草屯鎮,南投縣草屯鎮明正里29鄰博愛路470號,049-2381777,長照,101.1,49,
14,私立,南投縣私立草屯長期照顧中心(養護型),陳素梅,草屯鎮,南投縣草屯鎮稻香路23之61號,049-2318568,"養護
日照",106.08,48,
15,私立,南投縣私立慈愛老人養護中心,傅文興,竹山鎮,南投縣竹山鎮雲林里34鄰大勇路21號,049-2655669,養護,89.11,48,
16,私立,南投縣私立同心居老人養護中心,余國瑞,竹山鎮,南投縣竹山鎮雲林里33鄰大仁路199巷2號,049-2635717,養護,94.11,46,
17,私立,南投縣私立億安老人養護中心,陳旻含,竹山鎮,南投縣竹山鎮延和里4鄰大和街258號,049-2658342,養護,91.02,36,
18,私立,南投縣私立祥和長期照顧中心(養護型),陳平洲,名間鄉,南投縣名間鄉東湖村15鄰彰南路256-1巷100號,049-2739868,養護,93.03,48,
19,私立,南投縣私立尚德老人養護中心,黃登郁,名間鄉,南投縣名間鄉東湖村2鄰山腳巷54-20號,049-2738847,養護,96.02,44,
