編號,屬性,機構名稱,負責人,區域別,地址,電話,收容對象,立案日期,核定床數,備註
1,私立,基隆市私立長青老人養護中心,唐志彥,七堵區,基隆市七堵區八德里5鄰八德路21號2樓及21之1號1樓,02-24329690,養護,88.6,30,
2,私立,基隆市私立無量壽老人養護中心,楊德芳,七堵區,基隆市七堵區正明里14鄰開元路138號2至5樓及140號1至5樓,02-24555167,養護,92.1,43,
3,私立,基隆市私立宏安老人長期照顧中心(養護型),王姿懿,七堵區,基隆市七堵區長興里29鄰東新街91號2樓,02-24553517,養護,103.8,33,
4,私立,基隆市私立健慈老人長期照顧中心（養護型）,賴振原,七堵區,基隆市七堵區堵北里14鄰福2街205號,02-24526532,養護,98.12,46,
5,私立,基隆市私立愛心老人長期照顧中心(養護型),楊雪文,七堵區,基隆市七堵區堵北里16鄰福一街162號2樓,02-24524532,養護,103.5.1,42,
6,私立,基隆市私立福慧老人長期照顧中心（養護型）,陳立洋,安樂區,基隆市安樂區武聖街內寮里3鄰12號,02-24320418,養護,100.1,31,
7,私立,基隆市私立中正老人養護中心,林明吉,中正區,基隆市中正區平寮里14鄰平一路274號2-4樓.276號2-4樓,02-24637000,養護,94.1,47,
8,私立,基隆市私立祥安老人長期照顧中心（養護型）,邱春蘭,中正區,基隆市中正區正砂里19鄰中正路99號2樓、2樓之1、2樓之2,02-24629990,養護,100.1,30,
9,私立,基隆市私立宏欣老人養護中心,鄭太迎,中正區,基隆市中正區正砂里5鄰正榮街28之6號2樓.50號1樓.51號1樓,02-24620285,養護,88.1,24,
10,私立,基隆市私立慈安老人長期照顧中心（養護型）,施冠榮,仁愛區,基隆市仁愛區文昌里6鄰忠二路55號4樓,02-24276592,養護,98.7,31,
11,私立,基隆市私立仁安老人長期照顧中心（養護型）,楊松烈,仁愛區,基隆市仁愛區文昌里6鄰忠二路55號5樓,02-24276692,養護,98.7,31,
12,私立,基隆市私立逸嘉老人長期照顧中心（養護型）,李清文,仁愛區,基隆市仁愛區同風里11鄰忠4路13號7樓,02-24288092,養護,98.8,39,
13,私立,基隆市私立聯安老人長期照顧中心（養護型）,林漢昌,仁愛區,基隆市仁愛區和明里7鄰愛五路34號7樓,02-24241071,養護,100.2,47,
14,"公設
民營",財團法人臺北市私立恆安老人長期照顧中心(長期照護型)承辦基隆市立仁愛之家養護大樓,胡世賢,安樂區,基隆市安樂區干城里17鄰安一路370巷1之5號,02-24216299,養護,91.3,230,
15,公立,基隆市立仁愛之家,楊明達,安樂區,基隆市安樂區干城里17鄰安一路370巷1號,02-24241186,安養,61.12,394,辦理轉行長照福利服務園區停止辦理收容
16,私立,基隆市私立志心老人長期照顧中心(養護型),吳靜宜,安樂區,基隆市安樂區六合里24鄰樂利三街189號.193號1樓,02-24323059,養護,89.5,24,
17,私立,基隆市私立安安老人養護中心,陳俊成,安樂區,基隆市安樂區六合里24鄰樂利三街201號.203號1樓,02-24337079,養護,89.7,20,
18,私立,基隆市私立祝安老人長期照顧中心(養護型),詹德勝,安樂區,基隆市安樂區定國里2鄰定國街11巷49.50.51號2樓,02-24213300,養護,89.5,24,
19,私立,基隆市私立順逸老人長期照顧中心(養護型),簡淑芬,安樂區,基隆市安樂區新崙里22鄰基金一路210巷58號,02-24340129,養護,90.5,49,
20,私立,基隆市私立深美老人長期照顧中心(養護型),吳靜宜,信義區,基隆市信義區教忠里20鄰教忠街37號,02-24685311,養護,104.4,33,
21,私立,基隆市私立康富老人長期照顧中心（養護型）,余世豪,信義區,基隆市信義區教忠里20鄰教忠街48號1-4樓,02-24669917,養護,99.2,48,
22,私立,基隆市私立尚暉老人長期照顧中心(養護型),林佩儀,信義區,基隆市信義區教忠里21鄰深美街121號1至4樓,02-24663099,養護,102.1,44,
23,私立,基隆市私立春暉老人長期照顧中心(養護型),王振斌,信義區,基隆市信義區教忠里21鄰深美街123號1至4樓,02-24622128,養護,102.1,44,
24,私立,基隆市私立健安老人長期照顧中心(養護型),王南凱,中正區,基隆市信義區德義里5鄰義2路2巷9號、13號3樓,02-24229001,養護,102.4,22,
25,私立,基隆市私立惠安老人養護中心,施連福,信義區,基隆市信義區禮儀里16鄰東明路97號2樓,02-24662899,養護,89.3,35,
26,私立,基隆市私立松濤老人長期照顧中心(養護型),呂俍鈺,暖暖區,基隆市暖暖區暖西里17鄰東勢街6之46號4樓,02-24571397,養護,102.1,40,
27,私立,基隆市私立祥瑞老人長期照顧中心(養護型),林長禮,暖暖區,基隆市暖暖區碇安里源遠路280巷126號4樓.5樓、128號4樓.5樓,02-24588935,養護,91.1,23,
28,私立,財團法人基隆市私立博愛仁愛之家,林水木,暖暖區,基隆市暖暖區碇內里15鄰源遠路254號,02-24578214,"安養
養護",66.9,317,
