編號,屬性,機構名稱,負責人,區域別,地址,電話區碼,收容對象,立案日期,核定床數,備註
1,私立,財團法人天主教白永恩神父社會福利基金會附設宜蘭縣私立聖方濟老人長期照顧中心(養護型),費克強,頭城鎮,宜蘭縣頭城鎮開蘭東路1-1號,03-9771132,養護,80.08.20,40,
2,私立,財團法人宜蘭縣私立蘭陽仁愛之家,吳素真,礁溪鄉,宜蘭縣礁溪鄉龍潭村龍泉路31路,03-9283880,安養,51.05.01,60,
3,私立,財團法人宜蘭縣私立竹林養護院,林棖壬,礁溪鄉,宜蘭縣礁溪鄉六結路151號,03-9889357,養護,84.07.22,100,
4,私立,財團法人宜蘭縣私立鴻德養護院,彭愛珠,員山鄉,宜蘭縣員山鄉中華村冷水路17號,03-9231106,養護,96.4.18,174,
5,私立,財團法人宜蘭縣私立宏仁老人長期照顧中心(養護型),吳茂坤,宜蘭市,宜蘭縣宜蘭市舊城北路177號,03-9354176,"養護
長照",97.09.08,88,
6,私立,財團法人天主教靈醫會附設宜蘭縣私立聖嘉民老人長期照顧中心(養護型),呂若瑟,三星鄉,宜蘭縣三星鄉大隱村三星路2段103號,03-9898806,"養護
長照",98.07.21,122,
7,私立,財團法人宜蘭縣私立力麗樂活老人長期照顧中心(養護型),郭濟安,五結鄉,宜蘭縣五結鄉中正路三段21號2-6樓,03-9650736,"養護
長照",102.08.21,118,
8,私立,財團法人宜蘭縣私立慈愛養護院,林哲弘,五結鄉,宜蘭縣五結鄉親河路2段58巷78號,03-9606000,養護,100.12.30,162,
9,私立,財團法人宜蘭縣私立親水園養護之家,陳玉雲,五結鄉,宜蘭縣五結鄉季水路15巷46號,03-9500180,養護,91.10.21,64,
10,私立,財團法人天主教靈醫修女會附設宜蘭縣私立瑪利亞老人長期照顧中心(養護型),蔡碧娘,羅東鎮,宜蘭縣羅東鎮北成路1段17號2、3、4樓,03-9512060,"養護
長照",78.12.21,106,
11,"公設
民營",財團法人感恩社會福利慈善基金會承辦羅東鎮養護所,許淑芬,羅東鎮,宜蘭縣羅東鎮維揚路132號,03-9510789,"養護
長照",96.01.30,161,
12,私立,財團法人宜蘭縣私立天主教弘道仁愛之家,鍾安住,南澳鄉,宜蘭縣南澳鄉蘇花路2段251號,03-9981059,安養,73.12.28,36,
13,私立,宜蘭縣私立豐閤老人長期照顧中心(養護型),施鎮洲,宜蘭市,宜蘭縣宜蘭市大坡路一段37、41號1樓,03-9281285,養護,106.02.20,21,
14,私立,宜蘭縣私立慈恩老人長期照顧中心(養護型),王慈祥,宜蘭市,宜蘭縣宜蘭市津梅路71號,03-9280860,養護,98.06.02,42,
15,私立,宜蘭縣私立祥愛老人長期照顧中心(養護型),沈清富,宜蘭市,宜蘭縣宜蘭市津梅路73號,03-9282777,養護,99.03.18,42,
16,私立,宜蘭縣私立永安老人長期照顧中心(養護型),蔣嘉峰,宜蘭市,宜蘭縣宜蘭市宜興路3段109、111號,03-9289063,養護,97.11.13,34,
17,私立,宜蘭縣私立馨愛老人長期照顧中心(養護型),蔡光華,宜蘭市,宜蘭縣宜蘭市宜興路3段121號,03-9283148,養護,98.07.09,45,
18,私立,宜蘭縣私立救仁老人養護之家,吳丞景,宜蘭市,宜蘭縣宜蘭市舊城北路173號,03-9328295,養護,90.05.31,48,
19,私立,宜蘭縣私立寬仁養護之家,吳長青,宜蘭市,宜蘭縣宜蘭市舊城北路182號,03-9328639,養護,95.04.10,35,
20,私立,宜蘭縣私立祥泰老人長期照顧中心(養護型),陳志輝,宜蘭市,宜蘭縣宜蘭市中山路3段87號5、6樓,03-9366666,養護,99.12.30,49,
21,私立,宜蘭縣私立溫馨居老人長期照顧中心(養護型),陳志輝,宜蘭市,宜蘭縣宜蘭市中山路3段87號3、4樓,03-9362222,養護,103.02.11,49,
22,私立,宜蘭縣私立萬安老人長期照顧中心(養護型),林益舜,宜蘭市,宜蘭縣宜蘭市聖後街118號4樓,03-9359697,養護,101.09.04,42,
23,私立,宜蘭縣私立廣親老人長期照顧中心(養護型),王朝明,宜蘭市,宜蘭縣宜蘭市泰山路260、262號,03-9329922,養護,96.12.23,48,
24,私立,宜蘭縣私立順泰老人長期照顧中心(養護型),陳惠茹,宜蘭市,宜蘭縣宜蘭市民權新路47巷10、12、14、16號,03-9321989,養護,96.09.19,49,
25,私立,宜蘭縣私立和信老人長期照顧中心(養護型),洪真華,宜蘭市,宜蘭縣宜蘭市和睦路團管區巷17號2、3樓,03-9310463,養護,100.03.08,49,
26,私立,宜蘭縣私立健康老人長期照顧中心(養護型),林素雲,宜蘭市,宜蘭縣宜蘭市農權路3段178號3、4樓,03-9364673,養護,89.07.24,38,
27,私立,宜蘭縣私立祥德老人長期照顧中心(養護型),陳可竣,宜蘭市,宜蘭縣宜蘭市陽明三路160巷2、6號,03-9387733,養護,96.11.29,37,
28,私立,宜蘭縣私立長青老人養護中心,簡志龍,宜蘭市,宜蘭縣宜蘭市縣政12街40號,03-9255757,養護,95.12.29,48,
29,私立,宜蘭縣私立安親老人養護院,柳淑真,三星鄉,宜蘭縣三星鄉大坑三路30號,03-9894085,養護,88.12.31,49,
30,私立,宜蘭縣私立桑榆老人長期照顧中心(養護型),嚴一凱,五結鄉,宜蘭縣五結鄉中正路三段146巷7號,03-9659696,養護,102.04.12,31,
31,私立,宜蘭縣私立品如老人長期照顧中心(養護型),陳素蓮,羅東鎮,宜蘭縣羅東鎮興東南路232號6樓,03-9552378,養護,103.07.21,47,
32,私立,宜蘭縣私立靜心老人長期照顧中心(養護型),鄭麗容,羅東鎮,宜蘭縣羅東鎮興東南路232號5樓,03-9552379,養護,104.07.16,47,
33,私立,宜蘭縣私立禾樂園老人長期照顧中心(養護型),蔡光華,羅東鎮,宜蘭縣羅東鎮站前南路11號,03-9566651,養護,105.05.30,48,
34,私立,宜蘭縣私立幸福老人長期照顧中心(養護型),黃議賜,羅東鎮,宜蘭縣羅東鎮西安街313號,03-9617611,養護,98.04.21,35,
35,私立,宜蘭縣私立杏林老人長期照顧中心(養護型),林春秀,冬山鄉,宜蘭縣冬山鄉清溝村永安路389號,03-9587985,養護,88.05.29,49,
36,私立,宜蘭縣私立順安老人長期照顧中心(養護型),張文政,冬山鄉,宜蘭縣冬山鄉清溝村永安路393號,03-9588990,養護,95.12.29,49,
37,私立,宜蘭縣私立百齡老人長期照顧中心(養護型),陳世偉,冬山鄉,宜蘭縣冬山鄉福興東路71號,03-9592563,養護,97.03.26,40,
38,私立,宜蘭縣私立惠民老人長期照顧中心(養護型),葉惠雯,蘇澳鎮,宜蘭縣蘇澳鎮隘界路290巷11號,03-9904705,養護,93.10.21,40,
39,私立,宜蘭縣私立信踴老人長期照顧中心(養護型),林城踴,蘇澳鎮,宜蘭縣蘇澳鎮中山路一段415號,03-9960909,養護,106.03.09,45,
40,私立,宜蘭縣私立員山翠林老人長期照顧中心(養護型),紀敏忠,員山鄉,宜蘭縣員山鄉內城村10鄰榮光路236號,03-9658367,養護,107.12.26,49,
