編號,屬性,機構名稱,負責人,區域別,地址,電話,收容對象,立案日期,核定床數,備註
1,公立,衛生福利部南區老人之家,許慧麗,屏東市,屏東縣屏東市瑞光里香揚巷1號,"08-7223434
08-7233281","安養
養護
長照
失智",65.07,230,
2,私立,財團法人台灣省私立孝愛仁愛之家,黃懌憬,潮州鎮,屏東縣潮州鎮四維路189巷13號,"08-7882351
08-7880411","安養
養護",63.08,144,
3,私立,財團法人屏東縣私立長青老人養護中心,楊永琦,長治鄉,屏東縣長治鄉榮華村信義路55號,08-7620915,養護,89.06.13,108,
4,私立,財團法人屏東縣私立清境家園社會福利慈善事業基金會附設屏東縣私立清境家園老人長期照護中心,顏麗珠,屏東市,屏東縣屏東市湖南里歸禮巷2-36號,08-7533557,"長照
養護
失智",93.05.27,181,已於106年11月28日至107年11月28日停辦且至今尚未復業
5,私立,財團法人屏東縣私立椰子園老人養護之家,蘇政君,長治鄉,屏東縣長治鄉繁昌村振興路16之9號,"08-7621111
08-7624127",養護,91.08.29,156,
6,私立,財團法人屏東縣私立枋寮老人養護中心,黃炳爵,枋寮鄉,屏東縣枋寮鄉隆山村中正大路32號,08-8788784,養護,91.02.19,48,
7,私立,財團法人屏東縣私立永安老人養護中心,陳榮泉,恆春鎮,屏東縣恆春鎮網紗里大埔路8號,"08-8899720
08-8899721",養護,91.11.12,152,
8,私立,財團法人屏東縣私立聖欣老人養護中心,邱鎮光,鹽埔鄉,屏東縣鹽埔鄉永隆村大山街22號,08-7032088  ,養護,93.07.14,150,
9,私立,財團法人屏東縣私立國淳社會福利慈善事業基金會附設屏東縣私立琉璃光老人長期照顧中心(失智型),林美淳,竹田鄉,屏東縣竹田鄉竹田村自強路8號,08-7710308,"失智
養護",101.01.02,76,
10,私立,財團法人台灣基督長老教會原住民宣道會附設屏東縣私立春日老人長期照顧中心(養護型),"閥塯．
馬哼哼",春日鄉,屏東縣春日鄉春日村98-1號,08-8781900,養護,101.04.02,32,
11,私立,屏東縣私立慈暉老人長期照顧中心（養護型）,陳郁麒,屏東市,屏東縣屏東市大洲里2鄰大洲75-3號,"08-7537991
08-7533821",養護,102.08.28,49,
12,私立,屏東縣私立天佑老人長期照顧中心（養護型）,王桂英,屏東市,屏東縣屏東市豐田里建豐路65號,"08-7380117
08-7380151",養護,89.02.11,48,
13,私立,屏東縣私立安德老人養護中心,林育西,屏東市,屏東縣屏東市民權里桂林街106號,08-7336595,養護,92.03.12,30,
14,私立,屏東縣私立菩提樹老人長期照顧中心(養護型),魏玉倫,屏東市,屏東縣屏東市北興里永吉街50號,08-7328433,養護,92.09.04,42,
15,私立,屏東縣私立嘉鴻老人長期照顧中心(養護型),洪寶鳳,屏東市,屏東縣屏東市明正里開封街5號,08-7371446,養護,90.12.11,29,
16,私立,屏東縣私立頭前溪老人養護中心,尤釋櫻,屏東市,屏東縣屏東市前進里建國路405巷5號,"08-7552777
08-7519182",養護,92.09.04,28,
17,私立,屏東縣私立社皮老人長期照顧中心,陳貞利,萬丹鄉,屏東縣萬丹鄉社中村大功路161號,08-7071919,養護,96.11.30,36,
18,私立,屏東縣私立順心老人長期照顧中心（養護型）,陳正平,萬丹鄉,屏東縣萬丹鄉香社村中興路1段285巷31號,08-7771359,養護,97.10.29,42,
19,私立,屏東縣私立順仁老人養護中心,陳正平,萬丹鄉,屏東縣萬丹鄉香社村香社路138號,08-7775656,養護,92.06.10,46,
20,私立,屏東縣私立普昇老人長期照顧中心（養護型）,王宏虞,九如鄉,屏東縣九如鄉洽興村平和路145號,08-7751947,養護,105.7.26,49,
21,私立,屏東縣私立慈德老人養護之家,李明耀,九如鄉,屏東縣九如鄉三塊村三多路286巷65之3號,"08-7752821
08-7757820",養護,91.08.02,49,
22,私立,屏東縣私立佳南老人長期照顧中心(養護型),杜王秀珍,內埔鄉,屏東縣內埔鄉中林村中林路48號,08-7705568,養護,91.07.15,48,
23,私立,屏東縣私立青山老人長期照顧中心(養護型),廖士昌,內埔鄉,屏東縣內埔鄉東勢村大同路3段134之2號,08-7784928,養護,90.03.13,43,
24,私立,屏東縣私立慈航老人長期照顧中心（養護型）,楊玉琴,內埔鄉,屏東縣內埔鄉建興村8鄰建興路218巷3號,08-7707191,養護,91.05.15,49,
25,私立,屏東縣私立慈仁老人長期照顧機構（養護型）,楊玉琴,內埔鄉,屏東縣內埔鄉建興村建興路218巷5號,08-7707191,養護,99.08.18,49,
26,私立,屏東縣私立宏泰老人養護中心,馬世法,內埔鄉,屏東縣內埔鄉龍泉村五鄰新生路592巷1號,08-7701874,養護,91.06.18,48,
27,私立,屏東縣私立百齡老人養護中心,胡秋玉,內埔鄉,屏東縣內埔鄉龍潭村昭勝路546-60號,08-7702261,養護,96.07.12,36,
28,私立,屏東縣私立無量壽老人養護中心,林美淳,竹田鄉,屏東縣竹田鄉二崙村忠義路7號,08-7711751,養護,91.01.09,49,
29,私立,屏東縣私立新吉祥老人養護中心,蔡瑞銘,竹田鄉,屏東縣竹田鄉大湖鄉大湖村大新路66號,"08-7807183
08-7807193",養護,93.11.09,49,
30,私立,屏東縣私立三地門老人長期照顧中心（養護型）,林玉英,三地門鄉,屏東縣三地門鄉三地村5鄰中正路2段77巷23號,08-7994715,養護,99.01.15,30,
31,私立,屏東縣私立博仁老人養護中心,吳源杉,佳冬鄉,屏東縣佳冬鄉佳冬村民生路48號,08-8670938,養護,93.11.09,49,
32,私立,屏東縣私立新博愛老人養護中心,吳瑞娟,佳冬鄉,屏東縣佳冬鄉佳冬村民生路50號,08-8670938,養護,93.11.09,49,
33,私立,屏東縣私立佑康老人長期照顧中心（養護型）,黃耀德,東港鎮,屏東縣東港鎮船頭里24之51附11,08-8325859,養護,93.05.11,48,
34,私立,屏東縣私立松柏老人長期照顧中心（養護型）,李瑞森,東港鎮,屏東縣東港鎮船頭里水源路239號,08-8356658,養護,101.06.06,48,
35,私立,屏東縣私立佑生老人長期照顧機構,黃耀德,東港鎮,屏東縣東港鎮船頭里船頭路75之10號,"08-8335588
08-8339758","養護
",99.11.10,49,
36,私立,屏東縣私立崑泰老人長期照顧中心(養護型),吳瑞哲,崁頂鄉,屏東縣崁頂鄉北勢村17鄰中正路836號,08-8635667,"
養護
",102.09.27,49,
37,私立,屏東縣私立真愛老人長期照顧機構(養護型),鄭蕙其,崁頂鄉,屏東縣崁頂鄉崁頂村後壁路62號,08-8633798,養護,97.02.20,49,
38,私立,屏東縣私立聖恩老人養護中心(養護型),蘇鴻鐘,高樹鄉,屏東縣高樹鄉田子村勝利路136號,"08-7960577
08-7961072",養護,89.07.27,24,
39,私立,屏東縣私立信愛老人養護中心,陳玉雪,高樹鄉,屏東縣高樹鄉高樹村慈新路一段70之8號,08-7966110,養護,91.06.25,49,
40,私立,屏東縣私立宜安老人養護中心,潘美容,新埤鄉,屏東縣新埤鄉萬隆村萬安路10-1號,08-7870515,養護,95.07.20,48,
