編號,屬性,機構名稱,負責人,區域別,地址,電話,收容對象,立案日期,核定床數,備註
1,公立,衛生福利部中區老人之家,陳淑美,田中鎮,彰化縣田中鎮碧峰里中南路2段210號,04-8742811,"安養
養護
長照  ",63.7,350,
2,公立,衛生福利部彰化老人養護中心,陳智偉,彰化市,彰化縣彰化市桃源里虎崗路1號,04-7258131,養護              長照    失智,96.9,360,
3,私立,財團法人彰化縣私立慈恩老人養護中心,謝明月,二林鎮,彰化縣二林鎮華崙里光復路61巷20號,04-8681199,"養護
長照",91.2.18,198,
4,私立,彰化縣私立德昌老人長期照顧中心(養護型),黃振雄,二林鎮,彰化縣二林鎮趙甲里鎮平巷15-25號,04-8961212,養護,108.7.1,45,
5,私立,彰化縣私立北斗老人養護中心,鍾錫地,北斗鎮,彰化縣北斗鎮東光里地政路17號,04-8877631,養護,88.6.24,48,
6,私立,財團法人彰化縣私立葳群公益慈善事業基金會附設彰化縣私立葳群老人長期照顧中心(養護型),林宇凱,永靖鄉,彰化縣永靖鄉福興村永福路二段218號,04-8246888,"養護
長照",100.11.25,186,
7,私立,彰化縣私立田尾老人養護中心,劉素珍,田尾鄉,彰化縣田尾鄉睦宜村聖德巷261號,04-8831262,養護,91.2.18,40,
8,私立,彰化縣私立明昇老人養護中心,詹鋕平,田尾鄉,彰化縣田尾鄉睦宜村睦宜路22號,04-8837395,"養護
長照",96.1.3,49,
9,私立,彰化縣私立博愛老人養護中心,薛勝銓,田尾鄉,彰化縣田尾鄉南鎮村平和路1段73號,04-8238338,養護,96.3.20,41,
10,私立,彰化縣私立主光老人養護中心,顏嘉佑,伸港鄉,彰化縣伸港鄉忠孝路31號,04-7980892,"養護
長照",96.11.14,48,
11,私立,彰化縣私立立安老人長期照顧中心(養護型),陶玫伊,秀水鄉,彰化縣秀水鄉鶴鳴村6鄰明山街70-2號,04-7685493,養護,103.6.19,14,
12,私立,彰化縣私立福澤老人長期照顧中心(養護型),梁奕淼,秀水鄉,彰化縣秀水鄉福安村民意街187巷40號,04-7680007,養護,101.9.17,32,
13,私立,彰化縣私立賜福長期照顧中心(養護型),李婉蕊,秀水鄉,彰化縣秀水鄉陝西村水尾巷2號,04-7697439,"養護
長照",97.4.30,35,
14,私立,彰化縣私立寶贊老人養護中心,梁奕淼,秀水鄉,彰化縣秀水鄉民意街165巷19號,04-7680316,養護,89.2.23,29,
15,私立,彰化縣私立寶譽老人長期照顧中心(長期照護型),郭于甄,秀水鄉,彰化縣秀水鄉中山路589號,04-7690781,長照,107.1.5,49,
