編號,屬性,機構名稱,負責人,區域別,地址,電話,收容對象,立案日期,核定床數,備註
1,公立,衛生福利部北區老人之家(含頤苑大廈),陳立庚,新店區,新北市新店區屈尺路 81 號、83號,"02-2666-8695
02-2666-6497","安養
養護
長照",35.03,602,
2,私立,財團法人台灣省私立健順養護中心,黃禎祥,深坑區,新北市深坑區昇高里王軍寮 9 號?,02-2662-2499,"失智
養護
長照",82.11,134,
3,私立,財團法人臺灣省私立臺北仁濟院附設仁濟安老所,林明成,淡水區,新北市淡水區中正東路 2 段 153 號?,02-2809-5600,安養,26.05,122,
4,私立,財團法人新北市私立台灣天主教安老院,顧志珍,八里區,新北市八里區中山路1段33號,02-26102034,"養護
安養",61.05,78,
5,私立,新北市私立三禾老人長期照顧中心(長期照護型),黃玟瑛,三芝區,新北市三芝區四棧橋53之11號2樓、3樓,02-26363222,長照,84.07,46,停辦
6,私立,新北市私立仁惠老人長期照顧中心(養護型),黃洪麗卿,三芝區,新北市三芝區四棧橋53之11號,02-26365222,養護,100.09,49,
7,私立,新北市私立長勤老人長期照顧中心（養護型),高唯斯,三芝區,新北市三芝區長勤街63號、63 號2樓、63號3樓、63號4樓,02-26366887,養護,106.08,49,
8,私立,財團法人台灣基督長老教會雙連教會附設新北市私立雙連安養中心,蔡政道,三芝區,新北市三芝區後厝里北勢子22-17號,02-26365999,"失智
養護
安養",106.08,432,
9,私立,新北市私立鴻澄老人長期照顧中心(養護型),王麗芬,三重區,新北市三重區三和路2段30號3樓、3樓之1、3樓之2、3樓之3、3樓之4,02-29791130,養護,104.03,35,
10,私立,新北市私立大德老人長期照顧中心(養護型),許浩崇,三重區,新北市三重區三和路4段103-1號4樓,02-22870889,養護,106.05,39,
11,私立,新北市私立心侑老人長期照顧中心(養護型),廖培鈞,三重區,新北市三重區三和路4段95之1號2樓、3樓,02-22819099,養護,106.07,29,
12,私立,新北市私立幸福老人長期照顧中心(養護型),黃明全,三重區,新北市三重區中興北街54號5樓,02-85122666,養護,106.07,46,
13,私立,新北市私立豐禾老人長期照顧中心(養護型),陳靜琴,三重區,新北市三重區成功路79號1樓-5樓,02-89720166,養護,92.01,45,
14,私立,新北市私立靜園老人長期照顧中心(養護型),陳冠榮,三重區,新北市三重區成功路97號10樓,02-89731580,養護,105.01,49,
15,私立,新北市私立今光愛心老人養護中心,廖朝生,三重區,新北市三重區成功路97號2樓,02-29768888,養護,89.1,48,
16,私立,新北市私立大安老人長期照顧中心（養護型）,杜克堅,三重區,新北市三重區自強路4段110號3樓,02-89819911,養護,98.07,24,
17,私立,新北市私立祐安老人長期照顧中心（養護型）,黃鼎晉,三重區,新北市三重區自強路4段6號3樓,02-22866311,養護,100.06,49,
18,私立,新北市私立沐心老人長期照顧中心（養護型）,王寶琇,三重區,新北市三重區重新路5段635之2號、635之2號2樓、635之2號3樓,02-29990737,養護,99.08,46,
19,私立,新北市私立圓滿老人長期照顧中心（養護型）,冉宜民,三重區,新北市三重區重新路5段639號10樓、639之1號10樓,02-29998867,養護,106.05,39,
20,私立,新北市私立蓮愛老人養護中心,王述軍,三重區,新北市三重區溪尾街41號2樓,02-29896770,養護,95.06,32,
21,私立,新北市私立安泰老人長期照顧中心（養護型）,周見賢,三重區,新北市三重區福德北路4號3樓、4樓,02-29737632,養護,100.07,30,
22,私立,新北市私立長園老人長期照顧中心(養護型),洪斌峰,三重區,新北市三重區龍門路1號3樓、3樓之1,02-29860063,養護,105.05,46,
23,私立,新北市私立慈恩老人長期照顧中心(養護型),林英哲,三峽區,新北市三峽區大利路2號(1、2層)、4號、6號2樓,02-26738500,養護,89.03,45,
24,私立,新北市私立安康老人長期照顧中心（養護型）,鄭淑芬,三峽區,新北市三峽區中華路22號3樓之3,02-86719488,養護,99.02,31,
25,私立,新北市私立清安養老院老人長期照顧中心(養護型),陳少宜,三峽區,新北市三峽區介壽路1段278號3樓,02-86722809,養護,102.09,48,
