編號,屬性,機構名稱,負責人,區域別,地址,電話,收容對象,立案日期,核定床數,備註
1,私立,財團法人台灣省私立桃園仁愛之家附設新竹老人養護中心,李建榮,北區,新竹市北區興南里西門街116號,03-5285585,養護   ,89.05,200,
2,私立,新竹市私立欣安老人長期照顧中心(養護型),陳昱夫,東區,新竹市東區南大路428號2樓、3樓,03-5629737,養護,"95.02.13設立
105.01.26擴床",43,
3,私立,新竹市私立懷親老人養護中心,黃金水,香山區,新竹市香山區中華路五段599巷3號,03-5377686,養護,95.05.24,43,
4,私立,新竹市私立建嘉老人長期照顧中心(養護型),林寶鳳,香山區,新竹市香山區中華路五段392、396號,03-5386677,養護,97.03.23,48,
5,私立,新竹市私立慈慧老人長期照顧中心（養護型）,林正宜,北區,新竹市北區新民街27之1號、新竹市北區新民街33巷9號,03-5266200,養護,101.10.05,48,
6,私立,新竹市私立仙樂園老人長期照顧中心（養護型）,陳李佳璉,香山區,新竹市香山區中華路六段647巷75弄1之3號,03-5371155,養護,"88.04.13設立
101.11.16變更負責人",34,
7,私立,新竹市私立人瑞老人長期照顧中心(養護型),吳自強,北區,新竹市北區公道五路四段547號,03-5330080,養護,95.10.11設立103.10.25變更負責人,38,
8,私立,新竹市私立弘愛老人長期照顧中心(養護型),張弘達,北區,新竹市北區東大路三段180號,03-5366906,養護,105.01.06,43,
9,私立,財團法人基督教中華協力會附設新竹市私立伯大尼老人養護中心,林忠雄,北區,新竹市北區延平路一段491號,03-5244222,養護,93.01.16,48,
,,,,,,,,,,
其他,,,,,,,,,,
"109.3.15
歇業",私立,新竹市私立松慈老人養護中心,陳世杰,北區,新竹市北區東大路二段65巷36號 ,03-5355366,養護,98.08.27,42,"109.3.15
歇業"
"108.5.15
停業/110.05.15歇業",私立,新竹市私立青草湖長壽老人養護中心,黃淑娟,東區,新竹市東區明湖路1006巷102弄1、2、4號,03-5293859,養護,"95.10.31設立
107.06.29變更負責人",30,"108.5.15
停業/110.05.15歇業"
