編號,屬性,機構名稱,負責人,區域別,地址,電話,收容對象,立案日期,核定床數,備註
1,私立,新竹縣私立弘欣老人長期照顧中心(養護型),黃吉寶,竹北市,30282 新竹縣竹北市鳳岡路2段295號,03-5562159,養護,91.06,49,
2,"公設
民營",財團法人台灣省天主教會新竹教區辦理竹北市老人安養中心,李克勉,竹北市,30264 新竹縣竹北市福興東路一段353號,03-5500797,"安養
養護",91.06,49,
3,私立,新竹縣私立建安長期照顧中心(養護型),謝煒峰,竹北市,30259 新竹縣竹北市博愛街298巷9號,03-5537221,養護,96.11.19,49,
4,私立,新竹縣私立馨緣老人長期照顧中心(養護型),溫進源,竹北市,30265 新竹縣竹北市聯興里9鄰環北路三段 216 號,03-5533850,養護,105.12.08,49,
5,私立,新竹縣私立立慈養護中心,盧國郎,新豐鄉,30445 新竹縣新豐鄉鳳坑村8鄰720之2號,03-5571694,養護,91.06,49,
6,私立,新竹縣私立廣慈長期照顧中心(養護型),孫桂珠,新豐鄉,30445 新竹縣新豐鄉鳳坑村8鄰720之3號,03-5577407,養護,97.10.09,49,
7,私立,新竹縣私立康福長期照顧中心(養護型),彭柏硯,新豐鄉,30447 新竹縣新豐鄉後湖村11鄰十一股12之1號,03-5688925,養護,101.10.2,49,
8,私立,財團法人台灣省天主教會新竹教區附設新竹縣私立長安老人養護中心,李克勉,竹東鎮,31044 新竹縣竹東鎮長安路130號,03-5943987,養護,83.05.27,124,
9,私立,新竹縣私立慈恩養護中心,林川丰,竹東鎮,31051 新竹縣竹東鎮東峰路340號,03-5946566,養護,91.06.14,43,
10,私立,新竹縣私立瑪琍亞養護中心,劉瑞美,芎林鄉,30746 新竹縣芎林鄉秀湖村富林路一段399巷21號,03-5937055,養護,92.02,32,
11,私立,財團法人新竹縣私立保順養護中心,呂肇炫,芎林鄉,30742 新竹縣芎林鄉石潭村福昌街10鄰134巷19號,03-5922299,"養護
失智",93.9.24,200,
12,私立,新竹縣私立長春長期照顧中心,鄭玉蓮,湖口鄉,30342 新竹縣湖口鄉達生路326號,"03-5996854
03-5993171",養護,102.12.30,49,
13,私立,新竹縣私立勝光長期照顧中心(養護型),田清玲,湖口鄉,30372 新竹縣湖口鄉湖鏡村八德路二段10號,03-5692978,養護,97.11.07,45,
14,私立,新竹縣私立新湖長期照顧中心(養護型),莊碧雲,湖口鄉,30345 新竹縣湖口鄉信義村千湖路38巷20號3樓,03-5907808,養護,97.11.20,48,
15,私立,新竹縣私立竹光長期照顧中心(養護型),莊育興,湖口鄉,30345 新竹縣湖口鄉信義村千湖路38巷20號1-2樓,03-5999519,養護,97.11.28,48,
16,私立,新竹縣私立德欣老人長期照顧中心(養護型),莊添寶,湖口鄉,30347 新竹縣湖口鄉八德路二段713號,03-5691118,養護,105.8.1,37,
17,私立,新竹縣私立新埔家園老人長期照顧中心(養護型),方國祥,新埔鎮,30544 新竹縣新埔鎮關埔路水車頭段338號、338號2樓,03-5888893,養護,101.02.10,49,
18,私立,財團法人台灣省私立桃園仁愛之家附設新竹縣私立新埔長期照顧中心(養護型),李建榮,新埔鎮,30548 新竹縣新埔鎮旱坑里18鄰義民路1段566巷71、73、75、77號,03-5886460,"養護
失智",102.07.31,200,
