編號,屬性,機構名稱,負責人,區域別,地址,電話,收容對象,立案日期,核定床數,備註
1,私立,財團法人台灣省私立菩提仁愛之家,吳聰敏,大里區,臺中市大里區大明路55號,04-24837148,"長照 
養護",66.5,297,
2,公立,臺中市立仁愛之家,廖文邦,北屯區,臺中市北屯區軍功里006鄰軍功路二段490號,"04-22392074
","安養
養護",62.01.01,187,
3,私立,財團法人臺中市私立長生老人長期照護中心,李從華,北區,臺中市北區錦祥里001鄰北屯路26號9、10、12樓(不含12樓之9及12樓之10),04-22302033,長照,88.11.19,91,
4,私立,財團法人台中市順天宮輔順將軍廟附設私立輔順仁愛之家,陳英郎,北區,臺中市北區賴村里015鄰德化街362號,04-22030602,"安養
養護",82.10.30,170,
5,私立,財團法人中華基督教福音信義傳道會附設台中市私立信義老人養護中心,尤寶珍,東勢區,臺中市東勢區泰昌里002鄰東崎路五段425號,04-25888225,養護,90.04.12,49,
6,私立,財團法人臺中市私立永耕社會福利基金會附設臺中市私立永耕老人養護中心,林喬美,南區,臺中市南區工學里011鄰文心南路766號,04-22611698,養護,92.10.06,153,
7,私立,財團法人臺灣省私立永信社會福利基金會附設臺中市私立松柏園老人養護中心,李芳裕,大甲區,臺中市大甲區頂店里002鄰成功路319號,04-26760180,養護,90.11.07,161,
8,私立,財團法人臺中市私立普濟社會福利慈善事業基金會附設臺中市私立普濟老人長期照顧中心(養護型),吳惠群,龍井區,臺中市龍井區東海里006鄰遠東街209巷2號,04-26522166,養護,95.11.20,46,
9,私立,財團法人臺中市私立公老坪社會福利慈善事業基金會附設臺中市私立田園老人養護中心,陸桂森,豐原區,臺中市豐原區南嵩里014鄰水源路坪頂巷8-7號,04-25220123,養護,94.05.18,200,
10,私立,財團法人臺中市私立廣達社會福利慈善事業基金會附設臺中市私立廣達老人長期照顧中心(養護型),陳瑞祥,外埔區,臺中市外埔區六分里009鄰月眉西路398巷100號,04-26836161,養護,94.12.14,200,
