編號,屬性,機構名稱,負責人,區域別,地址,電話,收容對象,立案日期,核定床數,備註
1,私立,臺北市私立上美老人長期照顧中心(養護型),李依蓮,士林區,臺北市士林區重慶北路4段162號1-4樓,02-28122366,養護,88.12,33,
2,"公設
民營",臺北市至善老人安養護中心,鄒繼群,士林區,臺北市士林區永福里001鄰仰德大道2段2巷50號,02-28832666 ,"安養
養護
長照  ",92.12,471,
3,私立,臺北市私立璞園老人長期照顧中心(養護型),黃台生,士林區,臺北市士林區富光里010鄰葫蘆街33號4、5、6樓,02-28163696,養護,102.06.03,46,
4,私立,臺北市私立祐心老人長期照顧中心(養護型),羅柏鈞 ,士林區,臺北市士林區名山里 009鄰至誠路1段305巷3弄14號1-2樓,02-28310432,養護,97.09,16,
5,私立,臺北市私立永青老人長期照顧中心(養護型),蘇糧貳,士林區,臺北市士林區天壽里003鄰中山北路6段427巷8號1~4樓,02-28761908,"養護
長照",106.6.28,31,
6,私立,臺北市私立祇福老人養護所,黃潮琴,士林區,臺北市士林區三玉里016鄰忠誠路2段10巷11、13號1~2樓,02-28317713,養護,89.11,39,
7,私立,臺北市私立荷園老人長期照顧中心(養護型),徐慶鼎,士林區,臺北市士林區富光里010鄰葫蘆街33號2~3樓,02-28163696,養護,102.06.03,39,
8,私立,臺北市私立柏安老人養護所,黃彥勳,士林區,臺北市士林區蘭雅里 024鄰 中山北路6段290巷52、54號1樓,02-28333536,養護,88.06,20,
9,私立,臺北市私立松園老人長期照顧中心(養護型),冉筠佩,士林區,臺北市士林區蘭雅里 020鄰德行東路61巷1、2、3號1~2樓,02-88662097,養護,88.02,49,
10,私立,臺北市私立天玉老人長期照顧中心(長期照護型),林海珠,士林區,臺北市士林區天玉街38巷18弄18號1-6樓,02-28720239,長照,105.04.12,39,
11,私立,臺北市私立慧光老人養護所,康玉燕,大同區,臺北市大同區星明里 014鄰寧夏路32 號5樓,02-25582275,養護,92.1,40,
12,私立,臺北市私立敦煌老人長期照顧中心(養護型),林素滿,大同區,臺北市大同區重慶里014鄰敦煌路80巷3號及3-1號1樓,02-25945133,養護,90.02,29,
13,私立,臺北市私立祥安尊榮老人長期照顧中心(養護型),林哲弘,大同區,臺北市大同區國順里008鄰延平北路3段4號2樓,02-25860098,養護,89.11,47,
14,私立,臺北市私立永安老人養護所,莊增瀧,大同區,臺北市大同區老師里008鄰重慶北路3段284號2~4樓、286號1~4樓,02-25980197,養護,89.07,49,
15,私立,臺北市私立德寶老人養護所,張麗美,大同區,臺北市大同區建明里002鄰長安西路78巷4弄11號1~4樓,02-25522062,養護,89.06,28,
16,私立,臺北市私立仁家老人長期照顧中心(養護型),陳?榮,大同區,臺北市大同區延平里001鄰甘州街55號5~6樓,02-25530799,養護,89.05,49,
17,私立,臺北市私立建順老人長期照顧中心(養護型),黃政義,大同區,臺北市大同區延平里001鄰甘州街55號3樓,02-25520199,養護,88.12,30,
18,私立,臺北市私立建興老人長期照顧中心(養護型),黃政義,大同區,臺北市大同區延平里001鄰甘州街55號2樓,02-25520199,養護,94.04,31,
19,私立,臺北市私立晉安老人長期照顧中心(養護型),吳世均,大同區,臺北市大同區至聖里032鄰重慶北路3段175、177號1~4樓,"02-25982301
02-25982401",養護,96.11,49,
20,私立,臺北市私立祥寶尊榮老人長期照顧中心(養護型),林哲弘,大同區,臺北市大同區建泰里019鄰太原路97巷4、6號,02-25501118,養護,106.6.9,49,
21,私立,臺北市私立天恩老人長期照顧中心(養護型),薛?娥,大安區,臺北市大安區龍門里008鄰新生南路3段7-4號、9-4號、9-5號,"02-23620457
 02-23634382",養護,89.05,48,
22,私立,臺北市私立新常安老人長期照顧中心(養護型),龍建旭,大安區,臺北市大安區黎孝里006鄰安居街46巷14號1~3樓及芳和里 013鄰 和平東路3段228巷39號2樓,02-23775448,養護,105.12.26,39,
23,私立,臺北市私立健全老人長期照顧中心(養護型),游祥祺,大安區,臺北市大安區錦華里001鄰金山南路2段152號2、3、5、6樓,02-23943265~6,"養護
長照",105.08.30,47,
24,私立,臺北市私立嘉恩老人長期照顧中心(養護型),沈威君,大安區,臺北市大安區黎孝里008鄰安居街27號4、6樓及29號4、5樓,02-27371330,養護,106.5.12,43,
25,私立,臺北市私立康寧老人長期照顧中心(養護型),林溦,大安區,臺北市大安區光信里020鄰仁愛路4段300巷20弄15號2樓、17號2樓,02-27053835,養護,104.06,30,
26,私立,臺北市私立上上老人養護所,李惠珍,大安區,臺北市大安區仁慈里009鄰復興南路1段279巷14、16號1樓,02-27032223,養護,87.09,15,
27,私立,臺北市私立晨欣老人長期照顧中心(養護型),李政勳,中山區,臺北市中山區集英里006鄰中山北路2段96巷19號3樓,02-25212226,養護,106.4.21,27,
28,私立,臺北市私立松湛園老人養護所,李秋龍,中山區,臺北市中山區聚盛里003鄰錦州街4巷1號2樓、2樓之1,02-25652281,養護,93.05,37,
29,私立,臺北市私立松青園老人養護所,李秋龍,中山區,臺北市中山區民安里021鄰民生西路30號2樓、2樓之1~4,02-25110903,養護,89.02,29,
30,私立,臺北市私立法泉老人長期照顧中心(養護型),陳慧紅,中山區,臺北市中山區朱崙里012鄰八德路2段251號2樓,02-87731706,養護,88.11,39,
31,私立,臺北市私立龍江老人長期照顧中心(養護型),吳第明,中山區,臺北市中山區力行里007鄰長安東路1段63號4樓,02-25672208,養護,88.07,37,
32,私立,臺北市私立仁群老人長期照顧中心(養護型),劉昱森,中山區,臺北市中山區下埤里019鄰民族東路512巷14號1~2樓、16號2樓,02-25013369,養護,88.11,48,
33,私立,臺北市私立群仁老人長期照顧中心(養護型),陳怡岑,中山區,臺北市中山區下埤里019鄰民族東路512巷14號3~5樓,02-25010048,養護,95.04,42,
34,私立,臺北市私立福成老人長期照顧中心(養護型),蕭憲宗,中山區,臺北市中山區新福里004鄰松江路374、380、382號4樓,02-25982507,養護,96.02,29,
35,私立,臺北市私立福喜老人長期照顧中心(養護型),柯乾元,中山區,臺北市中山區松江路374、380、382號7樓,02-25919087,養護,105.03,29,
36,私立,臺北市私立仁泰老人長期照顧中心(養護型),林郁翔,中正區,臺北市中正區三愛里001鄰連雲街3號1、3樓、3之4號及三愛里001鄰新生南路1段124之3號5樓,02-33931662,養護,92.08,31,
37,私立,臺北市私立博愛老人長期照顧中心(養護型),李明珊,中正區,臺北市中正區富水里001鄰汀州路3段56號2樓,02-23671050  02-23671819,養護,89.04,41,
38,私立,臺北市私立明德老人長期照顧中心(養護型),吳嬌娥,中正區,臺北市中正區永昌里014鄰詔安街220巷2、4號1樓,02-23090381,養護,89.02,20,
39,私立,臺北市私立大園老人長期照顧中心(養護型),黃慶玉,中正區,臺北市中正區三愛里001鄰新生南路1段124之3號1~4樓,02-33931661,養護,87.08,34,
40,私立,臺北市私立銀髮族老人養護所,簡美麗,內湖區,臺北市內湖區成功路2段488號2~5樓、490號2樓、4樓,02-27926006,養護,90.08,46,
41,私立,臺北市私立童音老人長期照顧中心(養護型),林淑容,內湖區,臺北市內湖區葫洲里004鄰民權東路6段280巷19弄1、3、5、7號1樓,"02-26345131
 02-26345132","養護
長照",89.03,37,
42,私立,臺北市私立湖濱老人長期照顧中心(養護型),葉雲興,內湖區,臺北市內湖區湖濱里010鄰內湖路2段179巷58、60號1樓,02-27933081,養護,89.02,18,
43,私立,臺北市私立瑞安老人長期照顧中(養護型),董曉璇,內湖區,臺北市內湖區紫陽里002鄰成功路3段88、90、92號2樓、76巷9號2樓,02-27925292,養護,104.07.24,33,
44,私立,臺北市私立祥家老人養護所,楊貢祖,內湖區,臺北市內湖區湖濱里026鄰內湖路2段253巷1弄1.3號1-2樓,02-27922281,養護,87.1,46,
45,私立,臺北市私立文德老人長期照顧中心(養護型),江光輝,內湖區,臺北市內湖區紫陽里011鄰陽光街70-2、70-3、72、72-1號1樓,02-26581303,養護,94.12,31,
46,公立,臺北市政府社會局老人自費安養中心,曾美玲,文山區,臺北市文山區忠順里009鄰興隆路4段109巷30弄6號,02-29393146,安養,71.12,366,
