編號,屬性,機構名稱,負責人,區域別,地址,電話,收容對象,立案日期,核定床數,備註
1,私立,財團法人台灣省私立台南仁愛之家（新都養護所）,陳振融,南區,臺南市南區新都路346號,06-2630431,養護,65.02,139,負責人7/1變更
2,私立,財團法人台灣省私立台南仁愛之家（成功養護中心）,陳振融,北區,臺南市北區成功路238巷11號,06-2252115,養護,82.07,54,負責人7/1變更
3,私立,財團法人台灣省私立台南仁愛之家（康寧園安養中心）,陳振融,北區,臺南市北區公園路321巷8號,06-2254670,安養,78.11,99,負責人7/1變更
4,私立,財團法人台灣省私立普門仁愛之家,李壯源,麻豆區,臺南市麻豆區南勢里關帝廟23之15號,06-5722384,"安養
養護",62.11,72,
5,私立,財團法人樹河社會福利基金會附設臺灣省私立悠然山莊安養中心,許秀子,關廟區,臺南市關廟區下湖里關新路一段85號,06-5954188,"安養
養護
長照",84.12,122,
6,私立,臺南市私立祐健老人長期照顧中心(養護型),林明霞,中西區,臺南市中西區開山路90號2、3樓,06-2260303,養護,89.11.10,41,
7,私立,臺南市私立慈心老人長期照顧中心(養護型),黃秋源,中西區,臺南市中西區臨安路1段193號1~2樓,06-2586999,養護,105.07.06,42,
8,私立,臺南市私立慈恩老人長期照顧中心(養護型),陳錦蓉,中西區,臺南市中西區臨安路1段193號3-4樓,06-2501843,養護,105.09.07,49,
9,私立,臺南市私立慈善老人長期照顧中心(養護型),李元富,中西區,臺南市中西區府前一街9巷12弄77、79號,06-2994591,養護,107.01.05,45,
10,私立,財團法人台南市基督教青年會社會福利慈善事業基金會附設台南市私立臨安老人養護中心,朱麗蓉,中西區,臺南市中西區民權路3段370號,06-3583000,養護,97.08.22,68,
11,私立,財團法人台南市私立林澄輝社會福利慈善事業基金會附設臺南市私立璐德老人長期照顧中心(養護型),黃春宜,中西區,臺南市中西區西和路100號,06-3588670,養護,105.04.14,72,
12,私立,台南市私立長佳老人養護中心,白金慧,東區,臺南市東區崇學路230巷59號2、3樓,06-2676812,養護,94.12.05,49,
13,私立,台南市私立佑惠老人養護中心,王淑媛,東區,臺南市東區自由路2段176號1-2樓,06-2695457,養護,95.04.28,21,
14,私立,台南市私立愛惠老人養護中心,魏毓倫,東區,臺南市東區東門路2段236號,06-2684254,養護,95.01.20,28,
