編號,屬性,機構名稱,負責人,區域別,地址,電話,收容對象,立案日期,核定床數,備註
1,公立,衛生福利部東區老人之家,宋冀寧,花蓮市,花蓮縣花蓮市民立里民權路125號,03-8509228 ,"安養
養護
長照
失智",37.1,300,
2,私立,財團法人天主教會花蓮教區附設花蓮縣私立聲遠老人養護之家,黃兆明,新城鄉,花蓮縣新城鄉新城村博愛路31號,03-8610075,養護,84.11,54,
3,私立,財團法人花蓮縣私立博愛居安廬老人長期照顧中心(養護型),廖美燕,吉安鄉,花蓮縣吉安鄉吉安村吉昌1街258巷11號,03-8529789,養護,87.6,90,
4,私立,財團法人中華基督教伯特利會總會附設花蓮縣私立長榮老人長期照顧中心(養護型),彭孟緝,吉安鄉,花蓮縣吉安鄉光華村4鄰華城5街550號,03-8420122,養護,92.9,100,
5,私立,財團法人花蓮縣私立吉豐老人養護所,陳秋英,壽豐鄉,花蓮縣壽豐鄉平和村23鄰吳全96之10號,03-8664998,養護,93.4,180,
6,私立,花蓮縣私立長生老人長期照顧中心(養護型),林杰志,吉安鄉,花蓮縣吉安鄉東昌村東海10街243號,03-8542258,養護,105.4,49,
7,私立,花蓮縣私立祥安養護中心,黎煥祥,吉安鄉,花蓮縣吉安鄉宜昌村19鄰荳蘭七街28號,03-8510448,養護,89.7,45,
8,私立,花蓮縣私立全民老人長期照顧中心(養護型),譚瑞美,吉安鄉,花蓮縣吉安鄉北昌村建昌路185號,03-8572877,養護,89.7,48,
9,私立,花蓮縣私立崇恩老人長期照顧中心(養護型),魏貞明,吉安鄉,花蓮縣吉安鄉東昌村8鄰東海6街81號,03-8522020,養護,106.1,36,
10,私立,花蓮縣私立長春養護之家,張金蘭,吉安鄉,花蓮縣吉安鄉南華村十五鄰南華2街295號,03-8549946,養護,92.11,38,
11,私立,花蓮縣私立長青老人養護中心,陳桂松,玉里鎮,花蓮縣玉里鎮大禹里酸柑1鄰11之2號,03-8980299,養護,90.8,49,
12,私立,花蓮縣私立祥雲老人長期照顧中心(長期照護型),黎光承,吉安鄉,花蓮縣吉安鄉吉安村10鄰中興路101號,03-8511095,長期照護,101.7,49,
13,私立,花蓮縣私立惠馨老人長期照顧中心(養護型),范良弘,吉安鄉,花蓮縣吉安鄉永興村全民街27號,03-8528868,養護,106.9,40,
14,私立,花蓮縣私立富康老人長期照顧中心(養護型),蘇裕翔,吉安鄉,花蓮縣吉安鄉太昌村2鄰明義2街28號,03-8571151,養護,104.1,49,
15,私立,花蓮縣私立玉里老人長期照顧中心(養護型),蘇正好,玉里鎮,花蓮縣玉里鎮國武里興國路2段20巷42弄7號,03-8886533 ,養護,107.1,49,
16,私立,花蓮縣私立光復老人長期照顧中心(養護型),許玉華,光復鄉,花蓮縣光復鄉大華村林森路183號,03-8700168,養護,107.2,47,
17,私立,花蓮縣私立愛愛老人長期照顧中心(養護型),古秋菊,玉里鎮,花蓮縣玉里鎮西邊街15之1號,03-8887136 ,養護,107.6,48,
