編號,屬性,機構名稱,負責人,區域別,地址,電話,收容對象,立案日期,核定床數,備註
1,私立,財團法人台灣省私立桃園仁愛之家附設苗栗老人養護中心,李建榮,苗栗市,苗栗縣苗栗市新東街115巷2號,037-325720,養護,79.11,164,
2,"公設
民營",苗栗縣社區老人安養護中心(戊山園),張漢昌,苗栗市,苗栗縣苗栗市南勢里8鄰新勝7之1號,037-330022,"安養
養護",87.5,100,
3,私立,財團法人苗栗縣私立海青老人養護中心,張漢昌,通霄鎮,苗栗縣通霄鎮坪頂里15鄰坪頂142-5號,037-783409,養護,84.4,150,
4,"公設
民營",苗栗縣苑裡社區老人養護中心,張漢昌,苑裡鎮,苗栗縣苑裡鎮石鎮里5鄰石鎮34之5號,037-743433,"養護
",92.9,108,
5,私立,苗栗縣私立聖亞社區養護中心,余桂香,頭份市,苗栗縣頭份市大勇街66號,037-691624,養護,94.12,49,
6,私立,苗栗縣私立頭份老人養護中心,鍾采錡,頭份市,苗栗縣頭份市建國路2段271號,037-596376,養護,89.8,46,
7,私立,苗栗縣私立聖庭老人長期照顧中心(養護型),余桂香,頭份市,苗栗縣頭份市吉祥路262號,037-685608,"長照
養護",97.12,49,
8,私立,苗栗縣私立誠意老人長期照顧中心(養護型),黃瓊玉,頭份市,苗栗縣頭份市中央路921號,037-633220,養護,98.8,49,
9,私立,苗栗縣私立清暉老人養護中心,鍾金豪,南庄鄉,苗栗縣南庄鄉員林村15鄰屯營63之1號,037-831588,養護,91.8,48,
10,私立,苗栗縣私立美麗家園老人長期照顧中心(養護型),李君偉,竹南鎮,苗栗縣竹南鎮營盤里14鄰環市路3段69號1-6樓,037-480588,"長照
養護",96.1,44,
11,私立,苗栗縣私立慈愛老人長期照顧中心(養護型),陳林二妹,頭份市,苗栗縣頭份市銀河南路195號,037-590151,"
養護
",100.8,48,
12,私立,苗栗縣私立杏安老人長期照顧中心(長照型),傅柏文,竹南鎮,苗栗縣竹南鎮崎頂里3鄰天祥街2段327號,037-478292,長照,100.11,49,
13,私立,苗栗縣私立邦群老人長期照顧中心(養護型),林懋甫,頭份市,苗栗縣頭份市大勇街61號2樓,037-696555,養護,102.11,49,
14,私立,苗栗縣私立振群老人長期照顧中心(養護型),鍾采錡,頭份市,苗栗縣頭份市大勇街61號3樓,037-596376,養護,102.11,49,
15,私立,苗栗縣私立嘉原老人長期照顧中心(養護型),李喬語,苗栗市,苗栗縣苗栗市華民路49號,037-367800,養護,106.9,49,
