編號,屬性,機構名稱,負責人,區域別,地址,電話,收容對象,立案日期,核定床數,備註
1,私立,財團法人雲林縣私立同仁仁愛之家,林金立,林內鄉,雲林縣林內鄉林茂村復興路34號,05-5892670,養護,102.3,200,
2,私立,財團法人天主教中華道明修女會附設私立福安老人療養所,徐嘉雯,斗南鎮,雲林縣斗南鎮北銘里15鄰興北路99號,05-5974374,養護,102.1,99,
3,私立,雲林縣私立新樂園老人長期照顧中心〈養護型〉,蔡順正,虎尾鎮,雲林縣虎尾鎮三合里10鄰吳厝59號,05-6621559,養護,97.07,49,
4,私立,雲林縣私立歡禧老人長期照顧中心(養護型),黃春福,西螺鎮,雲林縣西螺鎮中興里19鄰福來路265巷15號,05-5880797,養護,99.06,45,
5,私立,雲林縣私立長青老人長期照顧中心〈養護型〉,許君菽,北港鎮,雲林縣北港鎮新厝里9鄰新厝110-30號, 05-7822866,養護,100.6,40,
6,私立,雲林縣私立恩惠老人長期照顧中心〈養護型〉,林金春,斗南鎮,雲林縣斗南鎮東明里2鄰新庄20-36號,05-5952519,養護,100.9,49,
7,私立,雲林縣私立安家園老人長期照顧中心〈養護型〉,陳佩伶,北港鎮,雲林縣北港鎮後溝里7鄰灣內77號,05-7821666,養護,100.11,49,
8,私立,雲林縣私立大華老人長期照顧中心〈養護型〉,沈正雄,大埤鄉,雲林縣大埤鄉南和村20鄰民族路81號,05-5918758,養護,101.1,49,
9,私立,雲林縣私立源春老人長期照顧中心〈養護型〉,莊大日,崙背鄉,雲林縣崙背鄉崙前村16鄰面前厝60號,05-6964007,養護,101.8,49,
10,私立,雲林縣私立安親院老人長期照顧中心〈養護型〉,陳映州,北港鎮,雲林縣北港鎮後溝里灣仔內路76號,05-7834995,養護,101.8,49,
11,私立,雲林縣私立石龜老人養護中心,徐榮彬,斗南鎮,雲林縣斗南鎮靖興里靖光路37號,05-5968757,養護,101.7,36,
12,私立,雲林縣私立朝陽老人養護中心,廖淑卿,斗六市,雲林縣斗六市鎮東里大學路1段201巷79號,05-5345039,養護,93.8,30,
13,私立,雲林縣私立慈愛老人養護所,蘇日長,斗南鎮,雲林縣斗南鎮阿丹里興中1號,05-5961134,養護,101.6,49,
14,私立,雲林縣私立僑真老人養護中心,江宗佑,斗南鎮,雲林縣斗南鎮舊社里新生3路2840號,05-5954859,養護,101.6.4,45,
15,私立,雲林縣私立華山老人養護中心,劉怡伶,古坑鄉,雲林縣古坑鄉華山村91號,05-5901879,養護,99.08,38,
16,私立,雲林縣私立永光老人養護中心,葉禕廷,古坑鄉,雲林縣古坑鄉永光村光興路20號,05-5828927,養護,101.6,41,
17,私立,雲林縣私立博愛老人養護中心,曾順元,元長鄉,雲林縣元長鄉長南村中山路1巷22號,05-7888688,養護,91.12,49,
18,私立,雲林縣私立柏翔老人養護中心,陳羽睖,虎尾鎮,雲林縣虎尾鎮下溪里大庄73之58號,05-6225088,養護,102.3,46,
19,私立,雲林縣私立雙福寶佛門老人養護中心,黃素梅,虎尾鎮,雲林縣虎尾鎮平和里平和厝68之3號,05-6314899,養護,92.03,48,
20,私立,雲林縣私立祐康老人養護中心,林鳳玉,崙背鄉,雲林縣崙背鄉港尾村新鎮路45之3號,05-6969110,養護,99.03,20,
21,私立,雲林縣私立慈暉老人養護中心,黃維新,斗六市,雲林縣斗六市虎溪里興農路632號,05-5510711,養護,93.04,46,
22,私立,雲林縣私立聖元老人養護中心,黃雅惠,斗南鎮,雲林縣斗南鎮小東里17鄰大業路125-1號,05-5968545,養護,99.5,44,
23,私立,雲林縣私立伊甸園老人長期照顧中心〈養護型〉,林珠,虎尾鎮,雲林縣虎尾鎮下溪里大庄76-16號,05-6326767,養護,102.3,49,
24,私立,雲林縣私立養生老人長期照顧中心（養護型）,蔡金水,土庫鎮,雲林縣土庫鎮忠正里中華路100號,05-6624800,養護,102.3,49,
25,私立,雲林縣私立全佑老人長期照顧中心〈養護型〉,簡啣環,斗南鎮,雲林縣斗南鎮新光里18鄰文安30-22號,05-5977129,養護,102.5,49,
26,私立,雲林縣私立永祥老人長期照顧中心(養護型),李永祥,林內鄉,雲林縣林內鄉烏塗村5鄰忠庄58號,05-5899266,養護,102.7,48,
27,私立,雲林縣私立孝親養源老人長期照顧中心(養護型),廖  閂,虎尾鎮,雲林縣虎尾鎮墾地里1鄰虎興西八路368號,05-5529091,養護,102.8,49,
28,私立,雲林縣私立弘愛老人長期照顧中心(養護型),廖春崧,斗六市,雲林縣斗六市十三里10鄰十三北路101號,05-5518976,養護,103.4,45,
29,私立,雲林縣私立聖誕老人長期照顧中心(養護型),郭惠蘭,古坑鄉,雲林縣古坑鄉麻園村8鄰麻園60號,05-5823336,養護,103.4,49,
30,私立,雲林縣私立金典老人長期照顧中心(養護型),蘇曉梅,二崙鄉,雲林縣二崙鄉港後村15鄰港後路63-1號,05-5980868,養護,103.6,35,
31,私立,雲林縣私立健群老人長期照顧中心(養護型),蔡杰霖,虎尾鎮,雲林縣虎尾鎮平和里平和路35號,05-6362786,養護,103.12,36,
32,私立,雲林縣私立幸福之家老人長期照顧中心(養護型),陳姵玉,二崙鄉,雲林縣二崙鄉崙東村6鄰裕民路22巷9號,05-5980379,養護,103.6,49,
33,私立,雲林縣私立古坑老人長期照顧中心〈長期照護型〉,楊青真,古坑鄉,雲林縣古坑鄉永光村光華路190號,05-5829879,長照,97.09,49,
34,私立,雲林縣私立平安老人長期照顧中心〈長期照護型〉,盧榮富,古坑鄉,雲林縣古坑鄉荷苞村荷苞厝109-8號,05-5266979,長照,98.06,28,
35,私立,雲林縣私立長榮老人長期照顧中心〈長期照護型〉,鄭山林,北港鎮,雲林縣北港鎮劉厝里民樂路427-28號,05-7832988,長照,98.11,41,
36,私立,雲林縣私立三和老人長期照顧中心(長期照護型),王梓璋,褒忠鄉,雲林縣褒忠鄉中民村大部路2-68號,05-6973618,長照,99.06,49,
37,私立,雲林縣私立安泰老人長期照護中心,林惠珍,北港鎮,雲林縣北港鎮劉厝里民樂路427-22號,05-7832588,長照,91.05,48,
38,私立,雲林縣私立萊園長期照護中心,劉俊南,元長鄉,雲林縣元長鄉元南路6-20號,05-7888955,長照,97.07,30,
