編號,屬性,機構名稱,負責人,區域別,地址,電話,收容對象,立案日期,核定床數,備註
1,私立,財團法人台灣省私立高雄仁愛之家,王敬豪,大寮區,高雄市大寮區後庄里民順街1號,07-7037380,"安養
養護",66.05,398,110.08.06換負責人
2,私立,高雄市私立和信老人長期照顧中心 (養護型),張碧子,前鎮區,高雄市前鎮區和平二路207號6樓、203號7樓,07-7220726,養護,101.01.11,47,
3,私立,高雄市私立親親老人長期照顧中心（養護型）,蘇月娥,前鎮區,高雄市前鎮區和平二路205、207號5樓,07-7220251,養護,102.07.15,46,
4,私立,高雄市私立安和老人長期照顧中心（養護型）,董論,前鎮區,高雄市前鎮區和平二路205、207號12樓,07-7226456,養護,97.01.02,49,
5,私立,高雄市私立安仁老人長期照顧中心(養護型),董家宏,前鎮區,高雄市前鎮區和平二路203、205、207號4樓,07-7226456,養護,97.01.02,49,
6,私立,高雄市私立合信老人長期照顧中心（養護型）,鄭麗雪,前鎮區,高雄市前鎮區和平二路203、207號11樓,07-7220726,養護,98.03.10,36,
7,私立,高雄市私立溫心養護中心,陳修輝,前鎮區,高雄市前鎮區廣西路200號1-3樓,07-3339696,養護,94.01.11,49,
8,私立,高雄市私立耀群老人長期照顧中心(養護型),黃慶昌,前鎮區,高雄市前鎮區瑞北路241號1-2樓,07-7171168,養護,89.09.21,47,
9,私立,高雄市私立雙喜老人長期照顧中心（養護型）,蘇美惠,前鎮區,高雄市前鎮區和平二路205、207號10樓,07-7224765,養護,98.12.25,47,
10,私立,高雄市私立幸福一家老人長期照顧中心（養護型）,孫培原,前鎮區,高雄市前鎮區漁港路93-1號,07-8157277,養護,106.3.29,49,
11,私立,高雄市私立心橋老人長期照顧中心（養護型）,蘇美珍,前鎮區,高雄市前鎮區和平二路203、205號3樓,07-7224765,養護,100.2.11,39,
12,私立,高雄市私立全人老人長期照顧中心(養護型),鄭名珊,前鎮區,高雄市前鎮區和平二路203號6樓,07-7617665,養護,101.01.06,31,
13,私立,高雄市私立上和老人長期照顧中心(養護型),林韋全,前鎮區,高雄市前鎮區草衙中街95號,07-8127575,養護,104.08.11,38,
14,私立,高雄市私立瑞翁老人長期照顧中心(養護型),沈秀美,小港區,高雄市小港區水秀路35號1樓,07-8038600,養護,94.12.27,46,
15,私立,高雄市私立人愛養護之家,顏漢彬,小港區,高雄市小港區高坪二十三路712號2-3樓,07-8913131,養護,95.04.26,44,
16,私立,高雄市私立祐安養護中心,丁顗修,小港區,高雄市小港區宏平路292號1-4樓,07-8036565,養護,100.06.01,48,
17,私立,高雄市私立祥和養護中心,洪比崙,小港區,高雄市小港區民益路27號1-6樓,07-8063516,養護,96.12.20,43,
18,私立,高雄市私立傳祐老人長期照顧中心(養護型),龔威華,小港區,高雄市小港區沿海一路377號1至3樓,07-8071593,養護,103.02.18,49,
19,私立,高雄市私立康庭老人長期照顧中心(養護型),呂昇賢,小港區,高雄市小港區高坪二十街25巷51號1-2樓,07-8913966,養護,101.03.12,40,
